Batch,Problem,FilePath,SolutionFound,SolutionCount,ComputationTime_ms,Restarts,TotalSteps,AvgStepsToSolution,EstimatedEnergy_microjoules,EstimatedPower_mW,EnergyPerSolution_microjoules,RunTimestamp
t_batch_1,C0_formula_3.cnf,./problems/t_batch_1/C0_formula_3.cnf,True,1,0.367,1,1509,1509.0,5532.690149999999,15075.45,5532.690149999999,2025-03-09T13:27:47.872770
t_batch_1,C0_formula_4.cnf,./problems/t_batch_1/C0_formula_4.cnf,True,1,0.32,1,2140,2140.0,4834.240000000001,15107.0,4834.240000000001,2025-03-09T13:27:47.880617
t_batch_1,C0_formula_5.cnf,./problems/t_batch_1/C0_formula_5.cnf,True,1,0.092,1,556,556.0,1382.5575999999999,15027.8,1382.5575999999999,2025-03-09T13:27:47.888080
t_batch_1,C0_formula_6.cnf,./problems/t_batch_1/C0_formula_6.cnf,True,1,0.818,1,5127,5127.0,12479.6943,15256.35,12479.6943,2025-03-09T13:27:47.896086
t_batch_1,C0_formula_7.cnf,./problems/t_batch_1/C0_formula_7.cnf,True,1,0.998,1,7511,7511.0,15344.7989,15375.55,15344.7989,2025-03-09T13:27:47.904300
t_batch_1,C0_formula_8.cnf,./problems/t_batch_1/C0_formula_8.cnf,True,1,3.697,1,29469,29469.0,60902.34465000001,16473.45,60902.34465000001,2025-03-09T13:27:47.914957
t_batch_1,C0_formula_9.cnf,./problems/t_batch_1/C0_formula_9.cnf,True,1,0.089,1,515,515.0,1337.2917499999999,15025.75,1337.2917499999999,2025-03-09T13:27:47.922414
t_batch_2,formula_0.cnf,./problems/t_batch_2/formula_0.cnf,True,1,0.007,1,41,41.0,105.01435,15002.05,105.01435,2025-03-09T13:27:47.926044
t_batch_2,formula_1.cnf,./problems/t_batch_2/formula_1.cnf,True,1,0.718,1,7458,7458.0,11037.7422,15372.9,11037.7422,2025-03-09T13:27:47.932856
t_batch_2,formula_10.cnf,./problems/t_batch_2/formula_10.cnf,True,1,0.552,1,2966,2966.0,8361.8616,15148.3,8361.8616,2025-03-09T13:27:47.940266
t_batch_2,formula_11.cnf,./problems/t_batch_2/formula_11.cnf,True,1,1.403,1,14364,14364.0,22052.6346,15718.2,22052.6346,2025-03-09T13:27:47.949263
t_batch_2,formula_12.cnf,./problems/t_batch_2/formula_12.cnf,True,1,0.051,1,562,562.0,766.4331,15028.1,766.4331,2025-03-09T13:27:47.953454
t_batch_2,formula_13.cnf,./problems/t_batch_2/formula_13.cnf,True,1,5.343,1,51556,51556.0,93918.18539999999,17577.8,93918.18539999999,2025-03-09T13:27:47.965374
